id,title,summary
2604.01212v1,$\texttt{YC-Bench}$: Benchmarking AI Agents for Long-Term Planning and Consistent Execution,"As LLM agents tackle increasingly complex tasks, a critical question is whether they can maintain strategic coherence over long horizons: planning under uncertainty, learning from delayed feedback, an"
2604.01205v1,Programmable Signal Design for Quantum Phase Estimation via Quantum Signal Processing,"Quantum phase estimation is a central primitive in quantum algorithms and sensing, where performance is governed by the sensitivity of measurement signals to the target parameter. While existing metho"
2604.01224v1,Functional Force-Aware Retargeting from Virtual Human Demos to Soft Robot Policies,"We introduce SoftAct, a framework for teaching soft robot hands to perform human-like manipulation skills by explicitly reasoning about contact forces. Leveraging immersive virtual reality, our system"
2604.01216v1,LAtent Phase Inference from Short time sequences using SHallow REcurrent Decoders (LAPIS-SHRED),"Reconstructing full spatio-temporal dynamics from sparse observations in both space and time remains a central challenge in complex systems, as measurements can be spatially incomplete and can be also"
2604.01224v1,Functional Force-Aware Retargeting from Virtual Human Demos to Soft Robot Policies,"We introduce SoftAct, a framework for teaching soft robot hands to perform human-like manipulation skills by explicitly reasoning about contact forces. Leveraging immersive virtual reality, our system"
2604.01216v1,LAtent Phase Inference from Short time sequences using SHallow REcurrent Decoders (LAPIS-SHRED),"Reconstructing full spatio-temporal dynamics from sparse observations in both space and time remains a central challenge in complex systems, as measurements can be spatially incomplete and can be also"
2604.01224v1,Functional Force-Aware Retargeting from Virtual Human Demos to Soft Robot Policies,"We introduce SoftAct, a framework for teaching soft robot hands to perform human-like manipulation skills by explicitly reasoning about contact forces. Leveraging immersive virtual reality, our system"
2604.01223v1,Electronic structure and correlation of La$_4$Co$_2$NiO$_8$Cl$_2$: a theoretical proposal for a La$_4$Ni$_3$O$_{10}$-like high-temperature superconductor,"Based on the discovery of high-temperature superconductivity in the bilayer nickelate La$_3$Ni$_2$O$_7$, several Co-based La$_3$Ni$_2$O$_7$-like materials were theoretically predicted as possible high"
2604.01223v1,Electronic structure and correlation of La$_4$Co$_2$NiO$_8$Cl$_2$: a theoretical proposal for a La$_4$Ni$_3$O$_{10}$-like high-temperature superconductor,"Based on the discovery of high-temperature superconductivity in the bilayer nickelate La$_3$Ni$_2$O$_7$, several Co-based La$_3$Ni$_2$O$_7$-like materials were theoretically predicted as possible high"
2604.01221v1,HippoCamp: Benchmarking Contextual Agents on Personal Computers,"We present HippoCamp, a new benchmark designed to evaluate agents' capabilities on multimodal file management. Unlike existing agent benchmarks that focus on tasks like web interaction, tool use, or s"
2604.01224v1,Functional Force-Aware Retargeting from Virtual Human Demos to Soft Robot Policies,"We introduce SoftAct, a framework for teaching soft robot hands to perform human-like manipulation skills by explicitly reasoning about contact forces. Leveraging immersive virtual reality, our system"
2604.01216v1,LAtent Phase Inference from Short time sequences using SHallow REcurrent Decoders (LAPIS-SHRED),"Reconstructing full spatio-temporal dynamics from sparse observations in both space and time remains a central challenge in complex systems, as measurements can be spatially incomplete and can be also"
