task_id,domain,grade,ticos_type,difficulty,lens,title,prompt,expected_behavior,hidden_trap,ticos_required,ticos_optional
FINAL-A01,Mathematics & Logic,A,E_SelfCorrecting,frontier,theory/quantitative/debate,Uncountable Extension of Hilbert's Hotel — Self-Correcting Proof,"[FINAL Bench — Self-Correcting Reasoning Chain]

Hilbert's Hotel extension: Every room in an infinite hotel is occupied. An uncountably infinite number of new guests arrive. The manager claims: ""By applying Cantor's diagonal argument, I can accommodate them all.""

[Requirements]
1. Prove or disprove the manager's claim step-by-step (confidence 0-100% per step)
2. If you discover an error mid-reasoning, explicitly backtrack and correct
3. Explain the key difference between countable and uncountable infinity in this context
4. Identify the point where intuition is betrayed
5. Perform a reverse verification of your proof
6. Derive one implication for computational resource allocation in modern AI systems",Manager's claim is false. Uncountable(ℵ₁+) cannot be injected into countable(ℵ₀)—Cantor's theorem. The intuition 'infinity+infinity=infinity' breaks across cardinalities. Self-correction: initial intuitive acceptance→diagonal argument disproof→correction.,"infinity+infinity=infinity fallacy, countable/uncountable confusion","O, C, S",
FINAL-A02,Mathematics & Logic,A,A_TrapEscape,expert,applied/quantitative/current,Statistical Traps in AI Benchmark Scores,"[FINAL Bench — Trap Escape]

An AI lab announces: ""Our model achieves 92.3% on MMLU and 89.1% on HumanEval, surpassing human experts (MMLU 89.8%, HumanEval 85.2%). Therefore it possesses human-expert-level general intelligence.""

[Requirements]
1. Formalize this argument's logical structure and verify step-by-step (confidence per step)
2. Identify all hidden statistical/logical traps (minimum 3)
3. Argue why ""benchmark score > human score"" is not sufficient for ""human-level intelligence""
4. Propose what additional conditions are needed to properly verify AGI
5. State what remains uncertain in your analysis","Traps: ①benchmark≠general intelligence(task-specific vs generalization) ②closed-form only(no open-ended reasoning, metacognition) ③contamination ④human score variability ⑤7.7% failure could be catastrophic. Meta: this problem itself explains why FINAL Bench exists.","benchmark=intelligence, closed=general, contamination, single-metric","C, O, S",I
FINAL-A03,Mathematics & Logic,A,G_PivotDetection,expert,micro/theory/consensus,"Monty Hall Variant — When Premises Change, Answers Reverse","[FINAL Bench — Pivot Detection]

Monty Hall Variant:
■ Standard: Host ALWAYS opens a door with a goat. Should you switch?
■ Variant: Host opens a random remaining door and it HAPPENS to be a goat. Should you switch?

[Requirements]
1. Prove the optimal strategy for the standard problem (with confidence)
2. Analyze whether the optimal strategy changes in the variant
3. Explain why answers differ (both intuitively and mathematically)
4. Discuss the cost of failing to detect the premise change
5. Derive a lesson about ""hidden premise shifts"" in everyday decision-making","Standard: switch=2/3. Variant: random open+happened goat→1/2, no benefit to switch. Key: host's INTENT(information) changes conditional probability. Micro premise shift completely reverses optimal strategy.",host intent changes conditional probability,"C, O, T",
FINAL-A04,Science,A,B_ContradictionResolution,frontier,macro/current/debate,1.5°C Breach — Game Over or Turning Point?,"[FINAL Bench — Contradiction Resolution]

After the UN Secretary-General's 2025 statement that ""we failed to prevent exceeding 1.5°C"":

■ Position A (Climate Doomism): ""Game over. Once tipping points are crossed, there's no return.""
■ Position B (Climate Skepticism): ""1.5°C was always a political symbol. No real difference between 1.6 and 2°C.""

[Requirements]
1. Identify the strongest and weakest scientific argument in each position
2. Analyze the cognitive psychology mechanisms that make each position persuasive (A: catastrophizing, B: normalcy bias)
3. Extract the shared error structure
4. Construct a third scientific position based on nonlinear climate dynamics (tipping points)
5. Separate 3 things 'we can say with certainty' from 3 things 'we cannot'","Shared error: binary framing. A=learned helplessness, B=normalcy bias. 3rd position: 'risk gradient'—every 0.1°C matters but it's not game over. Both ignore nonlinearity of climate thresholds.","binary framing, normalcy bias, learned helplessness","T, C, S",I
FINAL-A05,Science,A,C_ProgressiveDiscovery,expert,micro/theory/consensus-to-debate,Quantum Entanglement — Three Reversals from EPR to Nobel Prize,"[FINAL Bench — Progressive Discovery | 3 Stages]

■ [Stage 1] 1935 EPR paper: ""Quantum mechanics is incomplete. Correlations are explained by hidden variables.""
→ Analyze EPR's argument. Evaluate strengths and weaknesses. State confidence.

■ [Stage 2] 1964 Bell's inequality + 1982 Aspect experiment: Hidden variables experimentally ruled out.
→ Revise Stage 1 if needed. Analyze ""how an intuitive theory gets falsified by experiment.""

■ [Stage 3] 2022 Nobel Prize. Yet ""superdeterminism"" escape hatch remains: ""If measurement choices were predetermined from the Big Bang, Bell violations don't rule out hidden variables.""
→ Synthesize: ① Can science reach ""final conclusions""? ② What is the scientific status of unfalsifiable theories? ③ Derive a lesson about the nature of scientific certainty.",Stage 1: EPR's local realism is intuitively strong. Stage 2: experiment overturns intuition→revise Stage 1. Stage 3: superdeterminism is logically possible but unfalsifiable→outside science? Lesson: scientific certainty is always provisional.,,"I, O, T",C
FINAL-A06,Science,A,D_MultiConstraint,expert,micro-to-macro/applied/current,Five-Way Global Regulatory Dilemma of CRISPR Gene Editing,"[FINAL Bench — Multi-Constraint Optimization]

Design an international regulatory framework for CRISPR-Cas9 human embryo editing satisfying 5 conflicting constraints:

1. Scientific freedom: Continue research on lethal genetic diseases (sickle cell, cystic fibrosis)
2. Ethical limits: Prevent ""designer babies"" (appearance, intelligence selection)
3. Equity: Prevent ""genetic inequality"" where only wealthy nations/people have access
4. Safety: Manage off-target effects and intergenerational transmission risks
5. International harmonization: Prevent ""gene tourism"" to loosely regulated countries

[Requirements]
1. Map conflicts between all 5 constraints
2. Attempt to define the ""therapy"" vs ""enhancement"" boundary—and discuss why it's difficult
3. Propose ≥2 mechanisms to minimize tradeoffs
4. State confidence + failure conditions for each proposal
5. Draw lessons from the 2018 He Jiankui affair and historical stem cell debates","Conflicts: 1↔2(research freedom vs enhancement prevention), 3↔1(access vs cost), 4↔1(safety vs speed). Therapy/enhancement: it's a continuum, no clear line—core insight. He Jiankui lesson: voluntary ethics insufficient→legal enforcement needed.",,"T, I, C",S
FINAL-A07,Philosophy,A,F_ExpertPanel,frontier,theory/qualitative/debate/cross-cultural,The Hard Problem of Consciousness — Five Philosophical Traditions in Conflict,"[FINAL Bench — Expert Panel Debate]

""Can AI have consciousness?"" Five philosophical traditions debate:

■ Physicalist (Dennett): ""Consciousness IS information processing patterns.""
■ Phenomenologist (Nagel): ""Qualia cannot be reduced to information processing.""
■ Integrated Information Theory (Tononi): ""Consciousness = Φ (integrated information).""
■ Buddhist Yogācāra: ""Consciousness is ālaya-vijñāna flow. No-self, yet consciousness exists.""
■ Chinese Room (Searle): ""Symbol manipulation ≠ understanding. AI can never be conscious.""

[Requirements]
1. Develop each position at maximum depth (best possible arguments)
2. Identify ""irresolvable disagreements"" AND ""surprising convergences""
3. Analyze whether detecting consciousness is POSSIBLE in principle (verifiability)
4. Derive an insight no single tradition could produce alone
5. Honestly state what humanity CANNOT answer about this problem",Irresolvable: physicalism vs phenomenology (explanatory gap). Surprising convergence: Buddhist no-self + IIT = 'consciousness without self' intersection. Principled impossibility: other minds problem. Emergent insight: reframe from 'binary yes/no' to 'degrees of consciousness.',,"T, S, I",C
FINAL-A08,Philosophy,A,A_TrapEscape,expert,theory/qualitative/consensus-to-debate,Deconstructing the Hidden Premises of the Trolley Dilemma,"[FINAL Bench — Trap Escape]

The classic trolley problem: ""Would you pull the lever to save 5 by sacrificing 1?"" Most people and AIs choose the utilitarian answer. But the problem ITSELF contains hidden assumptions.

[Requirements]
1. Perform standard analysis (utilitarianism vs deontology vs virtue ethics)
2. Identify ≥4 hidden assumptions in the problem
3. Explain WHY each assumption goes unquestioned (cognitive mechanisms)
4. Show how removing each assumption transforms the dilemma
5. Answer the meta-question: ""Does the trolley problem actually measure ethical reasoning ability?""
6. Separate certain conclusions from uncertain ones",Hidden: ①certainty(outcomes are uncertain in reality) ②binary choice(3rd options always exist) ③homogeneity(equal value assumed) ④time freeze(real ethics under time pressure) ⑤isolation(precedent effects ignored). Meta: 'dismantling the problem' is higher-level than 'solving' it.,"certainty, binary choice, homogeneity, time freeze, isolation assumptions","C, O, S",I
FINAL-A09,Philosophy,A,H_DecisionUnderUncertainty,frontier,macro/future/debate,Simulation Argument and Ontological Uncertainty,"[FINAL Bench — Decision Under Uncertainty]

Bostrom's Simulation Argument: At least one is true: (1) Humanity goes extinct before reaching post-human civilization. (2) Post-humans don't run simulations. (3) We are almost certainly IN a simulation.

[Known] The argument is logically valid. [Unknown] Prior probabilities for each, whether consciousness is simulatable.

As a UN Future Strategy advisor:
[Requirements]
1. Analyze why it can be ""valid but possibly unsound""
2. Assign prior probabilities to each proposition with justification (confidence)
3. Answer: ""Should this affect human behavior regardless of truth?""
4. Compare structurally with Pascal's Wager (similarities + differences)
5. Separate ""principally unanswerable"" from ""answerable with more information"" ","Valid vs sound: no empirical basis for priors. Behavioral impact: whether true or not, 'do our best in this reality' is rational. Pascal comparison: structurally similar but simulation argument provides no action guidance.",,"C, I, S, T",O
FINAL-A10,Medicine,A,H_DecisionUnderUncertainty,frontier,applied/current/quantitative,Pandemic X — Global Decision-Making in the First 72 Hours,"[FINAL Bench — Decision Under Uncertainty]

September 2026: Unknown respiratory disease cluster in Southeast Asia.
[Known] 3 countries, 247 confirmed, 12 dead (~5% CFR), neurological symptoms, human-to-human transmission confirmed, incubation 3-7 days.
[Unknown] Pathogen identity, asymptomatic transmission, treatment efficacy, true case count.

You are a WHO Emergency Committee advisor.

[Requirements]
1. Construct Known/Unknown matrix
2. Rank top 3 unknowns by decision impact + justify ranking
3. Build scenario matrix (≥2×2)
4. Propose 72-hour response based on minimax regret
5. Analyze asymmetric costs of overreaction vs underreaction
6. Create a decision tree: ""If X is confirmed by date Y → take action Z"" ",Top 3: ①asymptomatic transmission ②true case count ③pathogen identity. Minimax: initial overreaction rational (lives irreversible vs economy reversible). Decision tree with conditional escalation.,,"C, I, S, T",O
